il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
7,1492,Antalya,Kumluca,2.0,2.1382337,2,0.0,dengede,58061,,346,1686.0,92772.0
7,1512,Antalya,Manavgat,11.0,8.101324,8,3.0,norm_fazlasi,249296,,665,5739.0,386092.0
7,2039,Antalya,Muratpaþa,13.0,11.512628,12,1.0,dengede,400613,,316,11104.0,7790.0
7,1616,Antalya,Serik,6.0,4.8954806,5,1.0,norm_fazlasi,104101,,631,2131.0,359045.0
75,1252,Ardahan,Çýldýr,0.0,0.0,0,0.0,dengede,1819,,203,79.0,135170.0
75,2008,Ardahan,Damal,0.0,0.017433524,0,0.0,dengede,2223,,156,106.0,56158.0
75,1356,Ardahan,Göle,0.0,0.017468452,0,0.0,dengede,6620,,187,318.0,207020.0
75,1380,Ardahan,Hanak,0.0,0.034720406,0,0.0,dengede,2202,,151,96.0,110420.0
75,1579,Ardahan,Posof,0.0,0.0,0,0.0,dengede,1564,,227,135.0,41398.0
8,1145,Artvin,Ardanuç,0.0,0.045649722,0,0.0,dengede,4316,,294,146.0,46227.0
8,1147,Artvin,Arhavi,2.0,1.3760401,1,1.0,norm_fazlasi,13351,,212,824.0,40392.0
8,1202,Artvin,Borçka,0.0,0.02172535,0,0.0,dengede,8206,,195,272.0,84152.0
8,1395,Artvin,Hopa,1.0,1.0545129,1,0.0,dengede,17540,,201,514.0,33629.0
8,2105,Artvin,Kemalpaþa,1.0,0.90746444,1,0.0,dengede,4997,,152,316.0,21112.0
8,1828,Artvin,Murgul,0.0,0.0,0,0.0,dengede,3970,,218,71.0,12469.0
8,1653,Artvin,Þavþat,1.0,0.9662413,1,0.0,dengede,5748,,218,199.0,30031.0
9,1206,Aydýn,Bozdoðan,0.0,0.40604204,0,0.0,dengede,26564,,585,718.0,271057.0
9,1781,Aydýn,Buharkent,0.0,0.07479428,0,0.0,dengede,10092,,415,306.0,35563.0
9,1256,Aydýn,Çine,1.0,2.2713077,2,-1.0,norm_eksigi,40046,,572,1303.0,339306.0
9,2000,Aydýn,Didim,4.0,3.1643808,3,1.0,norm_fazlasi,81769,,468,2099.0,123036.0
9,2076,Aydýn,Efeler,4.0,7.3470883,7,-3.0,norm_eksigi,238106,,592,6460.0,352953.0
9,1348,Aydýn,Germencik,1.0,1.6622115,2,-1.0,norm_eksigi,33539,,444,1274.0,254250.0
9,1807,Aydýn,Ýncirliova,2.0,1.9119029,2,0.0,dengede,41805,,479,861.0,133970.0
9,1435,Aydýn,Karacasu,2.0,0.9953239,1,1.0,norm_fazlasi,14465,,425,329.0,221754.0
9,1957,Aydýn,Karpuzlu,0.0,0.04357884,0,0.0,dengede,9055,,435,245.0,140823.0
9,1479,Aydýn,Koçarlý,0.0,0.07946184,0,0.0,dengede,18929,,453,632.0,221064.0
9,1968,Aydýn,Köþk,2.0,1.7273132,2,0.0,dengede,22811,,398,669.0,130978.0
9,1497,Aydýn,Kuþadasý,5.0,4.5999694,5,0.0,dengede,112270,,335,3016.0,59771.0
9,1498,Aydýn,Kuyucak,1.0,1.878549,2,-1.0,norm_eksigi,22039,,484,518.0,182993.0
9,1542,Aydýn,Nazilli,4.0,5.3831105,5,-1.0,norm_eksigi,128377,,526,2901.0,304150.0
9,1637,Aydýn,Söke,4.0,3.0127075,3,1.0,norm_fazlasi,95945,,533,2385.0,646309.0
9,1640,Aydýn,Sultanhisar,1.0,1.3350139,1,0.0,dengede,16016,,442,893.0,154217.0
9,1724,Aydýn,Yenipazar,1.0,1.5092291,2,-1.0,norm_eksigi,9814,,426,271.0,105718.0
10,2077,Balýkesir,Altýeylül,6.0,5.525923,6,0.0,dengede,148506,,560,3126.0,281664.0
10,1161,Balýkesir,Ayvalýk,2.0,3.8197558,4,-2.0,norm_eksigi,62817,,427,2935.0,194494.0
10,1169,Balýkesir,Balya,0.0,0.058382124,0,0.0,dengede,12054,,369,307.0,68724.0
10,1171,Balýkesir,Bandýrma,4.0,5.1086135,5,-1.0,norm_eksigi,133155,,514,2716.0,347384.0
10,1191,Balýkesir,Bigadiç,1.0,1.5549456,2,-1.0,norm_eksigi,44996,,502,830.0,282339.0
10,1216,Balýkesir,Burhaniye,3.0,2.3637395,2,1.0,norm_fazlasi,57292,,386,1752.0,186573.0
10,1291,Balýkesir,Dursunbey,0.0,0.13494134,0,0.0,dengede,28647,,488,818.0,155497.0
10,1294,Balýkesir,Edremit,3.0,4.3543315,4,-1.0,norm_eksigi,123817,,277,4236.0,214317.0
10,1310,Balýkesir,Erdek,2.0,2.0586727,2,0.0,dengede,28097,,354,1193.0,54980.0
10,1928,Balýkesir,Gömeç,1.0,1.5089563,2,-1.0,norm_eksigi,13757,,331,672.0,132423.0
10,1360,Balýkesir,Gönen,3.0,3.1902618,3,0.0,dengede,66301,,575,1933.0,399490.0
10,1384,Balýkesir,Havran,2.0,1.6263689,2,0.0,dengede,25769,,341,678.0,148018.0
10,1418,Balýkesir,Ývrindi,0.0,0.316628,0,0.0,dengede,27286,,467,827.0,121830.0
10,2078,Balýkesir,Karesi,5.0,4.5282636,5,0.0,dengede,149659,,457,3476.0,152339.0
10,1462,Balýkesir,Kepsut,1.0,1.3385025,1,0.0,dengede,19704,,478,654.0,159559.0
10,1514,Balýkesir,Manyas,2.0,1.2356296,1,1.0,norm_fazlasi,15587,,484,472.0,314015.0
10,1824,Balýkesir,Marmara,1.0,1.3861823,1,0.0,dengede,7333,,244,832.0,11382.0
10,1608,Balýkesir,Savaþtepe,0.0,0.07161935,0,0.0,dengede,13612,,488,248.0,176484.0
10,1619,Balýkesir,Sýndýrgý,1.0,1.3776175,1,0.0,dengede,26566,,509,694.0,199851.0
10,1644,Balýkesir,Susurluk,0.0,1.1971954,1,-1.0,norm_eksigi,30790,,518,838.0,253234.0
74,1761,Bartýn,Amasra,1.0,1.407582,1,0.0,dengede,4995,,311,425.0,20346.0
74,1496,Bartýn,Kurucaþile,0.0,0.0,0,0.0,dengede,1847,,307,106.0,17767.0
74,1701,Bartýn,Ulus,0.0,0.059769332,0,0.0,dengede,8826,,394,323.0,51637.0
72,1184,Batman,Beþiri,1.0,0.6921736,1,0.0,dengede,11989,,292,142.0,363840.0
72,1345,Batman,Gercüþ,0.0,0.0,0,0.0,dengede,5899,,247,107.0,132635.0
72,1941,Batman,Hasankeyf,0.0,0.0,0,0.0,dengede,2885,,221,30.0,22062.0
