il_kod,ilce_kod,il_adi,ilce_adi,ziraat_mevcut,ziraat_tahmin,ziraat_tahmin_yuvarlak,ziraat_fark,ziraat_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
72,1607,Batman,Sason,7.0,3.670818,4,3.0,norm_fazlasi,9910,,226,113.0,11102.0
69,1767,Bayburt,Aydýntepe,2.0,2.9838192,3,-1.0,norm_eksigi,2547,,312,114.0,80706.0
69,1788,Bayburt,Demirözü,3.0,4.390734,4,-1.0,norm_eksigi,3759,,279,160.0,247077.0
11,1210,Bilecik,Bozüyük,9.0,10.596408,11,-2.0,dengede,57255,,422,1164.0,192911.0
11,1359,Bilecik,Gölpazarý,1.0,4.1968193,4,-3.0,norm_eksigi,5754,,362,86.0,122440.0
11,1948,Bilecik,Ýnhisar,2.0,2.32389,2,0.0,dengede,812,,249,20.0,19490.0
11,1559,Bilecik,Osmaneli,3.0,8.079626,8,-5.0,norm_eksigi,12610,,441,286.0,123423.0
11,1571,Bilecik,Pazaryeri,4.0,4.0024133,4,0.0,dengede,4792,,424,226.0,101134.0
11,1636,Bilecik,Söðüt,4.0,4.3773913,4,0.0,dengede,10769,,334,221.0,96785.0
11,1857,Bilecik,Yenipazar,0.0,2.8755486,3,-3.0,norm_eksigi,886,,316,38.0,74768.0
12,1750,Bingöl,Adaklý,2.0,2.433861,2,0.0,dengede,2443,,210,23.0,140570.0
12,1344,Bingöl,Genç,5.0,2.8580525,3,2.0,norm_fazlasi,13963,,276,173.0,205502.0
12,1446,Bingöl,Karlýova,1.0,3.568752,4,-3.0,norm_eksigi,7154,,220,136.0,211501.0
12,1855,Bingöl,Yayladere,1.0,1.2530559,1,0.0,dengede,724,,187,5.0,35599.0
12,1996,Bingöl,Yedisu,2.0,2.4697018,2,0.0,dengede,1070,,210,19.0,76116.0
13,1106,Bitlis,Adilcevaz,9.0,9.150744,9,0.0,dengede,11227,,302,222.0,372590.0
13,1112,Bitlis,Ahlat,12.0,8.854205,9,3.0,norm_fazlasi,22806,,284,572.0,417282.0
13,1798,Bitlis,Güroymak,4.0,3.861674,4,0.0,dengede,21757,,264,204.0,128040.0
13,1394,Bitlis,Hizan,6.0,3.9895298,4,2.0,norm_fazlasi,8448,,258,362.0,85682.0
13,1537,Bitlis,Mutki,6.0,3.769478,4,2.0,norm_fazlasi,3769,,233,48.0,93716.0
13,1669,Bitlis,Tatvan,14.0,12.432509,12,2.0,dengede,56791,,261,912.0,213767.0
14,1916,Bolu,Dörtdivan,2.0,4.1801386,4,-2.0,norm_eksigi,2220,,210,163.0,87837.0
14,1346,Bolu,Gerede,5.0,7.8965836,8,-3.0,norm_eksigi,20157,,248,660.0,303362.0
14,1364,Bolu,Göynük,5.0,4.414397,4,1.0,norm_fazlasi,3456,,329,303.0,152708.0
14,1466,Bolu,Kýbrýscýk,2.0,2.7989976,3,-1.0,norm_eksigi,891,,213,71.0,9546.0
14,1522,Bolu,Mengen,3.0,3.3182428,3,0.0,dengede,5963,,331,221.0,16085.0
14,1531,Bolu,Mudurnu,6.0,4.416005,4,2.0,norm_fazlasi,6029,,316,492.0,154571.0
14,1610,Bolu,Seben,2.0,2.7822788,3,-1.0,norm_eksigi,1985,,301,94.0,47610.0
14,1997,Bolu,Yeniçaða,4.0,3.8570974,4,0.0,dengede,3467,,269,124.0,42788.0
15,1109,Burdur,Aðlasun,5.0,2.927529,3,2.0,norm_fazlasi,3123,,549,160.0,58648.0
15,1874,Burdur,Altýnyayla,3.0,2.5022826,3,0.0,dengede,2380,,377,90.0,12732.0
15,1211,Burdur,Bucak,16.0,12.964013,13,3.0,norm_fazlasi,40267,,681,988.0,216391.0
15,1899,Burdur,Çavdýr,6.0,5.9956813,6,0.0,dengede,6490,,462,868.0,110050.0
15,1903,Burdur,Çeltikçi,4.0,2.5095375,3,1.0,norm_fazlasi,1876,,470,69.0,31991.0
15,1357,Burdur,Gölhisar,8.0,9.016352,9,-1.0,dengede,15179,,578,609.0,175337.0
15,1813,Burdur,Karamanlý,5.0,3.400222,3,2.0,norm_fazlasi,4776,,548,85.0,161863.0
15,1816,Burdur,Kemer,2.0,2.2979593,2,0.0,dengede,1201,,439,58.0,80232.0
15,1672,Burdur,Tefenni,4.0,4.3790307,4,0.0,dengede,4718,,451,145.0,158592.0
15,1728,Burdur,Yeþilova,5.0,7.8062277,8,-3.0,norm_eksigi,4282,,578,354.0,230340.0
16,1783,Bursa,Büyükorhan,2.0,3.827991,4,-2.0,norm_eksigi,9678,,429,216.0,38452.0
16,1343,Bursa,Gemlik,9.0,15.483174,15,-6.0,norm_eksigi,84461,,341,2864.0,88765.0
16,1935,Bursa,Gürsu,10.0,10.266604,10,0.0,dengede,76010,,406,1012.0,43718.0
16,1799,Bursa,Harmancýk,3.0,3.6834154,4,-1.0,norm_eksigi,5200,,453,114.0,47068.0
