il_kod,ilce_kod,il_adi,ilce_adi,veteriner_mevcut,veteriner_tahmin,veteriner_tahmin_yuvarlak,veteriner_fark,veteriner_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
14,1531,Bolu,Mudurnu,9.0,7.055108,7,2.0,norm_fazlasi,6029,,316,492.0,154571.0
14,1610,Bolu,Seben,3.0,2.786014,3,0.0,dengede,1985,,301,94.0,47610.0
14,1997,Bolu,Yeniçaða,3.0,2.7454808,3,0.0,dengede,3467,,269,124.0,42788.0
15,1109,Burdur,Aðlasun,5.0,2.5805252,3,2.0,norm_fazlasi,3123,,549,160.0,58648.0
15,1874,Burdur,Altýnyayla,3.0,2.6601822,3,0.0,dengede,2380,,377,90.0,12732.0
15,1211,Burdur,Bucak,13.0,12.159818,12,1.0,dengede,40267,,681,988.0,216391.0
15,1899,Burdur,Çavdýr,3.0,5.180235,5,-2.0,norm_eksigi,6490,,462,868.0,110050.0
15,1903,Burdur,Çeltikçi,4.0,2.2992625,2,2.0,norm_fazlasi,1876,,470,69.0,31991.0
15,1357,Burdur,Gölhisar,11.0,8.90833,9,2.0,norm_fazlasi,15179,,578,609.0,175337.0
15,1813,Burdur,Karamanlý,5.0,3.4836698,3,2.0,norm_fazlasi,4776,,548,85.0,161863.0
15,1816,Burdur,Kemer,3.0,2.535,3,0.0,dengede,1201,,439,58.0,80232.0
15,1672,Burdur,Tefenni,5.0,4.1439676,4,1.0,norm_fazlasi,4718,,451,145.0,158592.0
15,1728,Burdur,Yeþilova,5.0,6.5992193,7,-2.0,norm_eksigi,4282,,578,354.0,230340.0
16,1783,Bursa,Büyükorhan,3.0,3.3753078,3,0.0,dengede,9678,,429,216.0,38452.0
16,1343,Bursa,Gemlik,5.0,7.0484447,7,-2.0,norm_eksigi,84461,,341,2864.0,88765.0
16,1935,Bursa,Gürsu,5.0,6.1305075,6,-1.0,dengede,76010,,406,1012.0,43718.0
16,1799,Bursa,Harmancýk,2.0,2.699599,3,-1.0,norm_eksigi,5200,,453,114.0,47068.0
16,1411,Bursa,Ýnegöl,14.0,14.494544,14,0.0,dengede,233613,,581,4524.0,297879.0
16,1420,Bursa,Ýznik,3.0,6.355673,6,-3.0,norm_eksigi,38104,,436,1559.0,164702.0
16,1434,Bursa,Karacabey,14.0,13.300836,13,1.0,dengede,68306,,611,1844.0,617619.0
16,1457,Bursa,Keles,4.0,4.9857388,5,-1.0,norm_eksigi,10996,,484,250.0,104478.0
16,1960,Bursa,Kestel,7.0,9.293296,9,-2.0,norm_eksigi,56415,,527,1610.0,82522.0
16,1530,Bursa,Mudanya,7.0,10.443394,10,-3.0,norm_eksigi,87768,,479,2491.0,190047.0
16,1535,Bursa,Mustafakemalpaþa,14.0,12.89364,13,1.0,dengede,85488,,570,2760.0,512835.0
16,1829,Bursa,Nilüfer,17.0,12.443096,12,5.0,norm_fazlasi,432989,,484,9809.0,155372.0
16,1553,Bursa,Orhaneli,4.0,5.6529236,6,-2.0,norm_eksigi,15525,,548,376.0,88700.0
16,1554,Bursa,Orhangazi,4.0,9.578054,10,-6.0,norm_eksigi,61950,,466,2161.0,129721.0
16,1832,Bursa,Osmangazi,20.0,15.846131,16,4.0,norm_fazlasi,669873,,500,16425.0,120155.0
16,1725,Bursa,Yeniþehir,10.0,12.032521,12,-2.0,dengede,43917,,552,1444.0,314401.0
16,1859,Bursa,Yýldýrým,12.0,8.462548,8,4.0,norm_fazlasi,480785,,342,8276.0,12522.0
17,1160,Çanakkale,Ayvacýk,7.0,7.613452,8,-1.0,dengede,17164,,512,1244.0,242999.0
17,1180,Çanakkale,Bayramiç,8.0,8.078805,8,0.0,dengede,12477,,610,933.0,315374.0
17,1190,Çanakkale,Biga,18.0,13.567815,14,4.0,norm_fazlasi,50080,,620,1881.0,585449.0
17,1205,Çanakkale,Bozcaada,2.0,2.5632184,3,-1.0,norm_eksigi,3018,,302,285.0,16760.0
17,1229,Çanakkale,Çan,12.0,8.672401,9,3.0,norm_fazlasi,25081,,528,545.0,211683.0
17,1293,Çanakkale,Eceabat,3.0,4.1215906,4,-1.0,norm_eksigi,4783,,479,391.0,166340.0
17,1326,Çanakkale,Ezine,13.0,8.809845,9,4.0,norm_fazlasi,14998,,533,824.0,268469.0
17,1340,Çanakkale,Gelibolu,7.0,8.378299,8,-1.0,dengede,28560,,540,1017.0,393209.0
17,1408,Çanakkale,Gökçeada,3.0,2.8432038,3,0.0,dengede,6543,,428,697.0,29875.0
17,1503,Çanakkale,Lapseki,7.0,7.683242,8,-1.0,dengede,18147,,589,579.0,231215.0
17,1722,Çanakkale,Yenice,10.0,9.852672,10,0.0,dengede,8218,,506,755.0,277433.0
18,1765,Çankýrý,Atkaracalar,1.0,2.4292274,2,-1.0,norm_eksigi,3541,,315,48.0,97267.0
18,1885,Çankýrý,Bayramören,1.0,1.801587,2,-1.0,norm_eksigi,449,,292,10.0,15857.0
18,1248,Çankýrý,Çerkeþ,3.0,4.519844,5,-2.0,norm_eksigi,9533,,362,209.0,282738.0
18,1300,Çankýrý,Eldivan,3.0,2.5174637,3,0.0,dengede,2770,,400,62.0,84733.0
18,1399,Çankýrý,Ilgaz,2.0,2.3044324,2,0.0,dengede,6069,,383,173.0,140493.0
18,1817,Çankýrý,Kýzýlýrmak,3.0,2.3650367,2,1.0,norm_fazlasi,1621,,352,96.0,319116.0
18,1963,Çankýrý,Korgun,1.0,1.9890554,2,-1.0,norm_eksigi,1862,,359,40.0,40536.0
18,1494,Çankýrý,Kurþunlu,2.0,3.7490017,4,-2.0,norm_eksigi,5465,,317,122.0,138820.0
18,1555,Çankýrý,Orta,5.0,3.7741022,4,1.0,norm_fazlasi,9534,,259,107.0,144599.0
18,1649,Çankýrý,Þabanözü,2.0,3.698469,4,-2.0,norm_eksigi,7179,,349,142.0,181102.0
18,1718,Çankýrý,Yapraklý,3.0,2.1070485,2,1.0,norm_fazlasi,1458,,424,37.0,171460.0
19,1124,Çorum,Alaca,5.0,6.6021976,7,-2.0,norm_eksigi,14303,,469,360.0,867512.0
19,1177,Çorum,Bayat,3.0,4.261161,4,-1.0,norm_eksigi,4231,,417,185.0,317007.0
19,1778,Çorum,Boðazkale,3.0,2.1317687,2,1.0,norm_fazlasi,1738,,366,71.0,105142.0
19,1911,Çorum,Dodurga,1.0,2.24255,2,-1.0,norm_eksigi,2045,,328,69.0,66973.0
