il_kod,ilce_kod,il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
54,1442,Sakarya,Karasu,61036,,366,6.0,7.5237923,8,-2.0,norm_eksigi,2.0,2.026383,2,0.0,dengede,7.0,14.913913,15,-8.0,norm_eksigi
54,1453,Sakarya,Kaynarca,20766,,249,9.0,5.917903,6,3.0,norm_fazlasi,1.0,0.8848626,1,0.0,dengede,6.0,7.853758,8,-2.0,norm_eksigi
54,1818,Sakarya,Kocaali,19434,,303,5.0,4.040333,4,1.0,norm_fazlasi,1.0,1.1090033,1,0.0,dengede,7.0,7.429601,7,0.0,dengede
54,1833,Sakarya,Pamukova,23169,,349,2.0,3.852753,4,-2.0,norm_eksigi,1.0,1.3875635,1,0.0,dengede,6.0,7.528374,8,-2.0,norm_eksigi
54,1595,Sakarya,Sapanca,36910,,217,4.0,3.2467277,3,1.0,norm_fazlasi,2.0,1.6288363,2,0.0,dengede,5.0,5.9946322,6,-1.0,dengede
54,2071,Sakarya,Serdivan,129016,,351,6.0,6.4684315,6,0.0,dengede,3.0,3.659763,4,-1.0,norm_eksigi,7.0,12.262356,12,-5.0,norm_eksigi
54,1986,Sakarya,Söðütlü,13116,,277,7.0,4.277562,4,3.0,norm_fazlasi,1.0,1.1776983,1,0.0,dengede,5.0,6.4580445,6,-1.0,dengede
54,1847,Sakarya,Taraklý,5757,,306,5.0,3.2081501,3,2.0,norm_fazlasi,0.0,0.011284538,0,0.0,dengede,3.0,3.3431902,3,0.0,dengede
55,1125,Samsun,Alaçam,21223,,449,5.0,6.7686787,7,-2.0,norm_eksigi,0.0,0.07011441,0,0.0,dengede,9.0,9.26611,9,0.0,dengede
55,1763,Samsun,Asarcýk,12086,,304,7.0,3.969209,4,3.0,norm_fazlasi,0.0,0.01265873,0,0.0,dengede,7.0,5.9262223,6,1.0,dengede
55,2072,Samsun,Atakum,196026,,338,11.0,9.644018,10,1.0,dengede,5.0,4.9282956,5,0.0,dengede,24.0,16.841,17,7.0,norm_fazlasi
55,1879,Samsun,Ayvacýk,15350,,198,4.0,3.8865478,4,0.0,dengede,0.0,0.0052593127,0,0.0,dengede,6.0,5.9455686,6,0.0,dengede
55,1164,Samsun,Bafra,112207,,635,13.0,15.885079,16,-3.0,dengede,2.0,4.0550156,4,-2.0,norm_eksigi,26.0,24.197136,24,2.0,dengede
55,2073,Samsun,Canik,78268,,348,8.0,6.355176,6,2.0,norm_fazlasi,2.0,2.764912,3,-1.0,norm_eksigi,20.0,10.855656,11,9.0,norm_fazlasi
55,1234,Samsun,Çarþamba,119849,,402,13.0,12.822869,13,0.0,dengede,0.0,0.50794303,1,-1.0,norm_eksigi,32.0,21.330542,21,11.0,norm_fazlasi
55,1386,Samsun,Havza,30910,,396,7.0,6.7887487,7,0.0,dengede,1.0,1.2244442,1,0.0,dengede,8.0,10.561971,11,-3.0,norm_eksigi
55,2074,Samsun,Ýlkadým,248848,,354,7.0,8.245534,8,-1.0,dengede,7.0,6.325718,6,1.0,dengede,17.0,15.883917,16,1.0,dengede
55,1452,Samsun,Kavak,19052,,319,6.0,4.4509916,4,2.0,norm_fazlasi,0.0,0.14233366,0,0.0,dengede,14.0,8.781922,9,5.0,norm_fazlasi
55,1501,Samsun,Ladik,13493,,334,6.0,4.4112415,4,2.0,norm_fazlasi,0.0,0.020886444,0,0.0,dengede,6.0,8.17757,8,-2.0,norm_eksigi
55,1838,Samsun,Salýpazarý,20364,,318,5.0,4.504117,5,0.0,dengede,0.0,0.031792082,0,0.0,dengede,7.0,9.226506,9,-2.0,norm_eksigi
55,1849,Samsun,Tekkeköy,47181,,367,10.0,7.828617,8,2.0,norm_fazlasi,3.0,2.4477084,2,1.0,norm_fazlasi,18.0,12.089877,12,6.0,norm_fazlasi
55,1676,Samsun,Terme,59824,,342,6.0,8.402081,8,-2.0,norm_eksigi,2.0,1.5631872,2,0.0,dengede,12.0,15.96199,16,-4.0,norm_eksigi
55,1712,Samsun,Vezirköprü,76716,,469,8.0,8.492307,8,0.0,dengede,1.0,2.0696845,2,-1.0,norm_eksigi,9.0,10.357987,10,-1.0,dengede
55,1993,Samsun,Yakakent,7304,,311,3.0,3.504443,4,-1.0,norm_eksigi,1.0,1.8641676,2,-1.0,norm_eksigi,8.0,5.2126217,5,3.0,norm_fazlasi
56,1179,Siirt,Baykan,9762,,237,2.0,2.4309719,2,0.0,dengede,0.0,0.0,0,0.0,dengede,4.0,3.7452493,4,0.0,dengede
56,1317,Siirt,Eruh,5931,,272,4.0,2.6822984,3,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,4.0,3.864608,4,0.0,dengede
56,1495,Siirt,Kurtalan,28151,,309,7.0,5.836768,6,1.0,dengede,0.0,0.043307453,0,0.0,dengede,14.0,9.513108,10,4.0,norm_fazlasi
56,1575,Siirt,Pervari,5114,,267,4.0,2.8765447,3,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,7.0,3.9052632,4,3.0,norm_fazlasi
56,1662,Siirt,Þirvan,3786,,215,4.0,2.7333825,3,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,7.0,3.2499392,3,4.0,norm_fazlasi
56,1878,Siirt,Tillo,1572,,233,4.0,2.2639575,2,2.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,8.0,3.4720004,3,5.0,norm_fazlasi
57,1156,Sinop,Ayancýk,10095,,332,3.0,3.4176278,3,0.0,dengede,0.0,0.034269728,0,0.0,dengede,4.0,4.0086155,4,0.0,dengede
57,1204,Sinop,Boyabat,20679,,446,6.0,6.2794523,6,0.0,dengede,1.0,1.1294731,1,0.0,dengede,7.0,6.4116855,6,1.0,dengede
57,1910,Sinop,Dikmen,1070,,246,3.0,2.1046517,2,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,2.0,2.4628658,2,0.0,dengede
57,1290,Sinop,Duraðan,5530,,410,4.0,3.676856,4,0.0,dengede,0.0,0.013703503,0,0.0,dengede,2.0,3.8032763,4,-2.0,norm_eksigi
57,1314,Sinop,Erfelek,3179,,330,3.0,3.0896623,3,0.0,dengede,0.0,0.028578639,0,0.0,dengede,2.0,4.4330373,4,-2.0,norm_eksigi
57,1349,Sinop,Gerze,16367,,459,6.0,4.8946075,5,1.0,norm_fazlasi,3.0,1.644432,2,1.0,norm_fazlasi,5.0,8.627488,9,-4.0,norm_eksigi
57,1981,Sinop,Saraydüzü,985,,244,1.0,1.8229427,2,-1.0,norm_eksigi,0.0,0.0,0,0.0,dengede,5.0,2.5572808,3,2.0,norm_fazlasi
57,1693,Sinop,Türkeli,5321,,323,3.0,2.8915915,3,0.0,dengede,0.0,0.021327436,0,0.0,dengede,2.0,4.014515,4,-2.0,norm_eksigi
