il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Edirne,Meriç,5828,,459,2.0,6.0,-3.623800270278686,norm_eksigi,1.0,1.0,0.15762114954987716,dengede,4.0,9.0,-4.519707366135028,norm_eksigi
Edirne,Süloðlu,2297,,388,3.0,4.0,-1.118579748477246,norm_eksigi,,0.0,,belirsiz,5.0,7.0,-1.5381226204375338,norm_eksigi
Edirne,Uzunköprü,34219,,481,6.0,10.0,-3.626212718161341,norm_eksigi,1.0,2.0,-0.971038656443826,dengede,8.0,12.0,-3.96229584698224,norm_eksigi
Elazýð,Aðýn,1405,,322,1.0,2.0,-0.9404606548260581,dengede,,0.0,,belirsiz,2.0,4.0,-2.352283886968043,norm_eksigi
Elazýð,Alacakaya,2273,,265,4.0,3.0,1.3468040984020906,norm_fazlasi,,0.0,,belirsiz,2.0,5.0,-3.066435589772878,norm_eksigi
Elazýð,Arýcak,6820,,297,2.0,4.0,-1.974814980291086,norm_eksigi,,1.0,,belirsiz,3.0,7.0,-3.5233526243914355,norm_eksigi
Elazýð,Baskil,4230,,363,5.0,5.0,0.2976580779562745,dengede,,0.0,,belirsiz,8.0,7.0,0.6949396669074233,dengede
Elazýð,Karakoçan,12975,,316,10.0,6.0,4.2852605499605785,norm_fazlasi,,1.0,,belirsiz,5.0,8.0,-2.6660919583106484,norm_eksigi
Elazýð,Keban,3189,,364,6.0,4.0,2.160002545376802,norm_fazlasi,1.0,0.0,0.5523575027107692,belirsiz,5.0,7.0,-1.5046266801502721,norm_eksigi
Elazýð,Kovancýlar,17125,,366,8.0,8.0,-0.2871907580730131,dengede,1.0,1.0,-0.16776008664926323,dengede,8.0,10.0,-1.6033129717452734,dengede
Elazýð,Maden,2761,,324,2.0,3.0,-1.4006668292346407,norm_eksigi,,0.0,,belirsiz,5.0,6.0,-0.9091578182629103,dengede
Elazýð,Palu,8339,,326,6.0,4.0,1.5482728936666739,norm_fazlasi,,1.0,,belirsiz,5.0,7.0,-1.9958431265003167,norm_eksigi
Elazýð,Sivrice,3203,,345,5.0,4.0,1.2315557384582672,norm_fazlasi,,0.0,,belirsiz,5.0,6.0,-1.3202302448451615,norm_eksigi
Erzincan,Çayýrlý,3227,,385,4.0,5.0,-0.586622761674553,dengede,,0.0,,belirsiz,3.0,7.0,-4.157946786129445,norm_eksigi
