il_adi,ilce_adi,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu
Kocaeli,Kandýra,9.0,7.369886846870619,7.0,1.6301131531293809,norm_fazlasi
Van,Muradiye,8.0,6.395166241332911,6.0,1.6048337586670893,norm_fazlasi
Rize,Derepazarý,4.0,2.4120735760412524,2.0,1.5879264239587476,norm_fazlasi
Kayseri,Sarýz,6.0,4.419213382309488,4.0,1.5807866176905119,norm_fazlasi
Tokat,Turhal,11.0,9.432609277387684,9.0,1.5673907226123163,dengede
Aydýn,Ýncirliova,9.0,7.44333516544184,7.0,1.55666483455816,norm_fazlasi
Elazýð,Palu,6.0,4.451727106333326,4.0,1.5482728936666739,norm_fazlasi
Artvin,Yusufeli,6.0,4.457146263488976,4.0,1.5428537365110238,norm_fazlasi
Muþ,Varto,8.0,6.469966906431394,6.0,1.5300330935686057,norm_fazlasi
Ardahan,Damal,5.0,3.4749500079798348,3.0,1.5250499920201652,norm_fazlasi
Afyonkarahisar,Þuhut,10.0,8.475111828969498,8.0,1.5248881710305024,dengede
Ýstanbul,Tuzla,8.0,6.497675399977221,6.0,1.5023246000227788,norm_fazlasi
Aydýn,Didim,9.0,7.511770062959668,8.0,1.488229937040332,dengede
Isparta,Aksu,4.0,2.5196264271852624,3.0,1.4803735728147376,norm_fazlasi
Çorum,Laçin,3.0,1.5210211175027357,2.0,1.4789788824972643,norm_fazlasi
Ýstanbul,Sultanbeyli,6.0,4.55272251113113,5.0,1.4472774888688704,norm_fazlasi
Denizli,Merkezefendi,11.0,9.578931360566012,10.0,1.4210686394339884,dengede
Batman,Hasankeyf,4.0,2.586113136578943,3.0,1.413886863421057,norm_fazlasi
Kayseri,Tomarza,8.0,6.609611287191204,7.0,1.3903887128087957,norm_fazlasi
Ankara,Haymana,13.0,11.625774348542459,12.0,1.3742256514575413,dengede
Diyarbakýr,Hazro,6.0,4.628921939776325,5.0,1.3710780602236747,norm_fazlasi
Isparta,Þarkikaraaðaç,8.0,6.636775508710685,7.0,1.3632244912893148,norm_fazlasi
Afyonkarahisar,Bolvadin,9.0,7.644590344749227,8.0,1.3554096552507726,dengede
Ýstanbul,Zeytinburnu,6.0,4.651049192596636,5.0,1.348950807403364,norm_fazlasi
Elazýð,Alacakaya,4.0,2.6531959015979094,3.0,1.3468040984020906,norm_fazlasi
Çanakkale,Yenice,10.0,8.657922316744076,9.0,1.3420776832559245,dengede
Bitlis,Güroymak,7.0,5.701230821965825,6.0,1.298769178034175,norm_fazlasi
Aydýn,Çine,12.0,10.721958606673134,11.0,1.2780413933268662,dengede
Uþak,Eþme,10.0,8.729797323104673,9.0,1.2702026768953267,dengede
Bartýn,Amasra,5.0,3.7303011803582127,4.0,1.2696988196417873,norm_fazlasi
Balýkesir,Burhaniye,8.0,6.741638546899279,7.0,1.2583614531007212,dengede
Kastamonu,Ýhsangazi,4.0,2.7502462667683014,3.0,1.2497537332316986,norm_fazlasi
Eskiþehir,Odunpazarý,14.0,12.759001670268308,13.0,1.240998329731692,dengede
Elazýð,Sivrice,5.0,3.768444261541733,4.0,1.2315557384582672,norm_fazlasi
Isparta,Yalvaç,11.0,9.774414230697028,10.0,1.2255857693029721,dengede
Kýrklareli,Lüleburgaz,17.0,15.777015011137923,16.0,1.222984988862077,dengede
Amasya,Gümüþhacýköy,8.0,6.8005958435524425,7.0,1.1994041564475575,dengede
Osmaniye,Toprakkale,6.0,4.801736854203896,5.0,1.198263145796104,norm_fazlasi
Bursa,Yýldýrým,12.0,10.804766760301522,11.0,1.195233239698478,dengede
Muðla,Ula,8.0,6.810868864280077,7.0,1.189131135719923,dengede
Ordu,Çatalpýnar,4.0,2.8177835424137734,3.0,1.1822164575862266,norm_fazlasi
Denizli,Pamukkale,13.0,11.835623407253975,12.0,1.1643765927460255,dengede
Kilis,Elbeyli,3.0,1.8429096430817289,2.0,1.1570903569182711,norm_fazlasi
Amasya,Hamamözü,3.0,1.845507896303876,2.0,1.154492103696124,norm_fazlasi
Konya,Ilgýn,12.0,10.847387129840111,11.0,1.1526128701598886,dengede
Bitlis,Ahlat,7.0,5.851215914227132,6.0,1.148784085772868,dengede
Ýstanbul,Maltepe,8.0,6.853911963120562,7.0,1.146088036879438,dengede
Van,Özalp,8.0,6.8540777996102085,7.0,1.1459222003897915,dengede
Aydýn,Kuþadasý,8.0,6.858422911569241,7.0,1.1415770884307586,dengede
Ordu,Gölköy,5.0,3.867855385257509,4.0,1.132144614742491,norm_fazlasi
Çorum,Mecitözü,7.0,5.869408365528318,6.0,1.1305916344716822,dengede
Ýstanbul,Büyükçekmece,7.0,5.905526407935321,6.0,1.0944735920646789,dengede
Afyonkarahisar,Sandýklý,10.0,8.910725018195123,9.0,1.089274981804877,dengede
Konya,Yalýhüyük,3.0,1.9170111588834136,2.0,1.0829888411165864,norm_fazlasi
Siirt,Kurtalan,7.0,5.942145188795419,6.0,1.0578548112045807,dengede
Kastamonu,Cide,5.0,3.9499075370271486,4.0,1.0500924629728514,norm_fazlasi
Samsun,Kavak,6.0,4.952731571568465,5.0,1.0472684284315346,norm_fazlasi
Gaziantep,Nurdaðý,8.0,6.953368000176453,7.0,1.0466319998235472,dengede
Erzincan,Refahiye,5.0,3.955736566769067,4.0,1.0442634332309328,norm_fazlasi
Kahramanmaraþ,Nurhak,5.0,3.963881099722797,4.0,1.036118900277203,norm_fazlasi
Sakarya,Taraklý,5.0,3.973204375133321,4.0,1.0267956248666792,norm_fazlasi
Kastamonu,Araç,5.0,3.97332091693719,4.0,1.02667908306281,norm_fazlasi
Bursa,Mustafakemalpaþa,14.0,12.979517171301982,13.0,1.020482828698018,dengede
Uþak,Sivaslý,9.0,7.986182299436395,8.0,1.0138177005636049,dengede
Çankýrý,Bayramören,1.0,0.0,0.0,1.0,belirsiz
Tokat,Yeþilyurt,5.0,4.0014091392790405,4.0,0.9985908607209595,dengede
Osmaniye,Sumbas,5.0,4.00346225231634,4.0,0.9965377476836599,dengede
Gaziantep,Nizip,11.0,10.009923533502304,10.0,0.9900764664976958,dengede
Kýrþehir,Boztepe,6.0,5.011241523003526,5.0,0.9887584769964741,dengede
Afyonkarahisar,Hocalar,4.0,3.019193208038924,3.0,0.9808067919610761,dengede
Kastamonu,Küre,3.0,2.0329127320812868,2.0,0.9670872679187132,dengede
Konya,Akþehir,10.0,9.04190105400555,9.0,0.9580989459944504,dengede
Denizli,Babadað,4.0,3.0476206746666556,3.0,0.9523793253333444,dengede
Van,Gürpýnar,9.0,8.062372822123056,8.0,0.9376271778769443,dengede
Adana,Pozantý,5.0,4.065330283522419,4.0,0.9346697164775808,dengede
Adana,Kozan,12.0,11.06622501323975,11.0,0.9337749867602501,dengede
Bolu,Kýbrýscýk,2.0,1.0686197250112501,1.0,0.9313802749887499,dengede
Diyarbakýr,Dicle,6.0,5.072771103438209,5.0,0.9272288965617914,dengede
Balýkesir,Ývrindi,9.0,8.094551249311275,8.0,0.9054487506887252,dengede
Kahramanmaraþ,Çaðlayancerit,5.0,4.097342136091209,4.0,0.9026578639087912,dengede
Adýyaman,Çelikhan,5.0,4.102909010628933,4.0,0.8970909893710672,dengede
Ýzmir,Foça,7.0,6.105979352057693,6.0,0.8940206479423072,dengede
Kýrklareli,Vize,8.0,7.1095128336854625,7.0,0.8904871663145375,dengede
Kastamonu,Aðlý,3.0,2.1437127712975856,2.0,0.8562872287024144,dengede
Kýrklareli,Pehlivanköy,3.0,2.147814983021025,2.0,0.8521850169789751,dengede
Samsun,Ladik,6.0,5.148093421293897,5.0,0.8519065787061031,dengede
Burdur,Çeltikçi,4.0,3.148562738377067,3.0,0.8514372616229329,dengede
Kastamonu,Hanönü,3.0,2.153104961750496,2.0,0.846895038249504,dengede
Kütahya,Çavdarhisar,4.0,3.155020963553513,3.0,0.8449790364464871,dengede
Isparta,Yeniþarbademli,3.0,2.1636010531337053,2.0,0.8363989468662947,dengede
Diyarbakýr,Hani,6.0,5.178149702045312,5.0,0.821850297954688,dengede
Kocaeli,Ýzmit,11.0,10.186026251750175,10.0,0.8139737482498255,dengede
Kýrklareli,Demirköy,5.0,4.188304006436066,4.0,0.8116959935639336,dengede
Afyonkarahisar,Emirdað,10.0,9.1908734304914,9.0,0.8091265695085994,dengede
Denizli,Sarayköy,7.0,6.200447936765338,6.0,0.7995520632346622,dengede
Hatay,Dörtyol,7.0,6.214739049823042,6.0,0.7852609501769576,dengede
Nevþehir,Derinkuyu,6.0,5.215206915587325,5.0,0.7847930844126747,dengede
Burdur,Kemer,3.0,2.2195816773605728,2.0,0.7804183226394272,dengede
Balýkesir,Ayvalýk,9.0,8.225163922874136,8.0,0.7748360771258636,dengede
Ýstanbul,Üsküdar,8.0,7.238628676720756,7.0,0.7613713232792438,dengede
Kastamonu,Seydiler,4.0,3.251088105289026,3.0,0.7489118947109739,dengede
Antalya,Kemer,6.0,5.267191618316388,5.0,0.7328083816836122,dengede
Gaziantep,Þehitkamil,16.0,15.277194836380168,15.0,0.7228051636198316,dengede
Afyonkarahisar,Sultandaðý,7.0,6.289791640021985,6.0,0.7102083599780151,dengede
Diyarbakýr,Kocaköy,5.0,4.300891270909228,4.0,0.6991087290907716,dengede
Mardin,Ömerli,5.0,4.302286797927314,4.0,0.697713202072686,dengede
Van,Erciþ,8.0,7.311563524751024,7.0,0.6884364752489764,dengede
Bursa,Yeniþehir,10.0,9.332964030433523,9.0,0.6670359695664771,dengede
Ýstanbul,Avcýlar,7.0,6.339107173955091,6.0,0.6608928260449094,dengede
Artvin,Þavþat,5.0,4.342183101617422,4.0,0.6578168983825776,dengede
