il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Ýzmir,Kýnýk,2.0,1.5833255735236254,2.0,0.41667442647637465,dengede
Ýzmir,Bergama,4.0,3.594679865792051,4.0,0.4053201342079489,dengede
Ýstanbul,Beylikdüzü,7.0,6.610092297937678,7.0,0.38990770206232206,dengede
Zonguldak,Kozlu,2.0,1.6112005494687724,2.0,0.38879945053122755,dengede
Aydýn,Köþk,2.0,1.6184998123414127,2.0,0.3815001876585873,dengede
Ankara,Pursaklar,4.0,3.62403009583287,4.0,0.37596990416713005,dengede
Balýkesir,Burhaniye,3.0,2.6343339817887754,3.0,0.3656660182112246,dengede
Zonguldak,Devrek,2.0,1.6345380674048058,2.0,0.3654619325951942,dengede
Adana,Karaisalý,2.0,1.6348417191262923,2.0,0.3651582808737077,dengede
Kahramanmaraþ,Pazarcýk,2.0,1.6372990837402253,2.0,0.36270091625977474,dengede
Kahramanmaraþ,Göksun,2.0,1.6383350005153345,2.0,0.36166499948466546,dengede
Uþak,Ulubey,1.0,0.6502789594294973,1.0,0.3497210405705027,dengede
Manisa,Sarýgöl,2.0,1.6557024314594506,2.0,0.3442975685405494,dengede
Artvin,Þavþat,1.0,0.6652902033628898,1.0,0.3347097966371102,dengede
Antalya,Gündoðmuþ,1.0,0.6662423162738613,1.0,0.3337576837261387,dengede
Ýzmir,Dikili,3.0,2.6670021268579216,3.0,0.3329978731420784,dengede
Ýzmir,Narlýdere,2.0,1.6697869033785289,2.0,0.33021309662147114,dengede
Gaziantep,Nizip,4.0,3.670421453814501,4.0,0.3295785461854992,dengede
Çanakkale,Lapseki,2.0,1.7040213058893783,2.0,0.2959786941106217,dengede
Isparta,Eðirdir,2.0,1.712415036555515,2.0,0.2875849634444849,dengede
Batman,Sason,1.0,0.7169197128469569,1.0,0.2830802871530431,dengede
Denizli,Sarayköy,2.0,1.7242661410512874,2.0,0.2757338589487126,dengede
Tokat,Erbaa,3.0,2.730481490716191,3.0,0.26951850928380905,dengede
Adana,Ceyhan,4.0,3.730940832178576,4.0,0.2690591678214238,dengede
Ankara,Kahramankazan,4.0,3.7343404958667645,4.0,0.26565950413323547,dengede
Çanakkale,Ezine,2.0,1.7521489776592591,2.0,0.24785102234074086,dengede
Kastamonu,Araç,1.0,0.7636836603630814,1.0,0.23631633963691856,dengede
Ýzmir,Seferihisar,3.0,2.763691685505374,3.0,0.23630831449462608,dengede
Sakarya,Sapanca,2.0,1.7645978189847022,2.0,0.23540218101529775,dengede
Kars,Sarýkamýþ,1.0,0.7691956026087792,1.0,0.23080439739122083,dengede
Amasya,Merzifon,3.0,2.7928227422820693,3.0,0.20717725771793072,dengede
