"il_kod","ilce_kod","islem_adeti","islem_suresi"
"46","1694",11522,7287
"37","1277",6032,3404
"42","1907",12243,11415
"59","1652",16264,10772
"26","1527",6551,3057
"55","2074",4166,3698
"41","1338",2892,9021
"14","1531",15785,10160
"10","1462",23005,12907
"21","1195",44950,25079
"12","1344",2659,3359
"16","1935",16524,19262
"23","1631",3556,1875
"43","1790",17039,6561
"3","1809",11376,6238
"16","1553",1969,1464
"56","1662",3804,3700
"25","1392",6215,2925
"46","1299",25942,16597
"47","2002",3103,2446
"55","1763",8214,6743
"18","1494",2706,1985
"35","2007",1929,1128
"29","1458",9171,6055
"42","1990",19120,13180
"16","1783",11922,8345
"33","2066",12085,10790
"35","2018",4186,3841
"2","1182",66815,48017
"11","1571",2600,1874
"67","1926",5145,2587
"10","1384",5743,3951
"54","1833",4427,2629
"13","1112",19340,11310
"52","1951",10725,5341
"80","1423",63559,32437
"49","1964",13434,7261
"34","2048",3826,2680
"28","1320",16137,8523
"35","1677",37393,27418
"18","1718",5272,3443
"3","1961",3702,2514
"38","1605",5430,4170
"67","2101",8103,5215
"34","1185",5481,5925
"42","1312",32319,32578
"67","1276",4958,3395
"37","1410",7458,3960
"65","1533",9597,5195
"3","1944",12970,6761
"61","1647",7540,4264
"79","2025",9632,7077
"35","1477",15503,9150
"37","1845",429,367
"42","1375",3770,3114
"10","1928",4293,3284
"2","1354",1214333,610039
"42","1188",11928,7499
"35","1251",2179,1751
"22","1705",23363,14408
"27","1974",9558,6104
"16","1535",169840901,84924861
"55","1501",10928,6196
"60","1690",21135,14637
"59","1388",45534,44624
"81","1784",7012,4112
"1","1757",5811,3843
"42","1839",13753,9705
"35","1280",7694,6340
"60","1883",928,628
"55","1234",29881,19715
"78","1561",1257,10581
"42","1491",32768,20823
"63","1800",86821,38153
"47","1609",8467,5743
"39","1505",18852,12352
"3","1626",18393,9180
"9","1957",6071,3789
"1","1580",5760,4878
"54","2069",2371,1519
"32","1648",3106,1580
"17","1340",9085,6316
"34","2003",866,385
"14","1997",1355,1233
"7","1616",82996,39142
"32","1651",17948,15080
"10","1360",51017,29749
