il_adi,ilce_adi,il_ilce,y2020,y2021,y2022,y2023,y2024,il_kod,ilce_kod
Balýkesir,Karesi,Balýkesir Karesi,218933,211462,198874,160883,152339,10,2078
Balýkesir,Kepsut,Balýkesir Kepsut,159906,156730,157503,157155,159559,10,1462
Balýkesir,Manyas,Balýkesir Manyas,300363,308284,308812,314940,314015,10,1514
Balýkesir,Marmara,Balýkesir Marmara,11955,12019,11520,11463,11382,10,1824
Balýkesir,Savaþtepe,Balýkesir Savaþtepe,102562,118002,164476,162562,176484,10,1608
Balýkesir,Susurluk,Balýkesir Susurluk,272778,260009,260151,261033,253234,10,1644
Balýkesir,Sýndýrgý,Balýkesir Sýndýrgý,220464,203431,203335,207062,199851,10,1619
Balýkesir,Ývrindi,Balýkesir Ývrindi,156457,147869,155151,155080,121830,10,1418
Bartýn,Amasra,Bartýn Amasra,21796,21884,21413,20754,20346,74,1761
Bartýn,Kurucaþile,Bartýn Kurucaþile,19367,19452,19402,19004,17767,74,1496
Bartýn,Merkez,Bartýn Merkez,267328,272001,286774,276677,220193,74,1172
Bartýn,Ulus,Bartýn Ulus,79146,79229,78585,72597,51637,74,1701
Batman,Beþiri,Batman Beþiri,359312,346646,347792,346759,363840,72,1184
Batman,Gercüþ,Batman Gercüþ,142431,138980,134112,119816,132635,72,1345
Batman,Hasankeyf,Batman Hasankeyf,20811,20967,21155,21699,22062,72,1941
Batman,Kozluk,Batman Kozluk,254579,246551,255508,255428,260589,72,1487
Batman,Merkez,Batman Merkez,157785,163262,166575,168676,190955,72,1174
Batman,Sason,Batman Sason,8233,8551,10077,9790,11102,72,1607
Bayburt,Aydýntepe,Bayburt Aydýntepe,68263,91955,90910,81759,80706,69,1767
Bayburt,Demirözü,Bayburt Demirözü,199801,204284,197556,235928,247077,69,1788
Bayburt,Merkez,Bayburt Merkez,703628,846819,851146,824892,817487,69,1176
Bilecik,Bozüyük,Bilecik Bozüyük,164985,180851,188027,193278,192911,11,1210
Bilecik,Gölpazarý,Bilecik Gölpazarý,95893,100617,107301,116821,122440,11,1359
Bilecik,Merkez,Bilecik Merkez,140048,138689,149815,144223,147765,11,1192
Bilecik,Osmaneli,Bilecik Osmaneli,126264,123410,123693,123416,123423,11,1559
Bilecik,Pazaryeri,Bilecik Pazaryeri,93827,94445,102110,98808,101134,11,1571
Bilecik,Söðüt,Bilecik Söðüt,85163,91328,96162,97455,96785,11,1636
Bilecik,Yenipazar,Bilecik Yenipazar,93079,89089,82739,76893,74768,11,1857
Bilecik,Ýnhisar,Bilecik Ýnhisar,19106,19680,20067,20097,19490,11,1948
Bingöl,Adaklý,Bingöl Adaklý,31879,31610,61304,137731,140570,12,1750
