"il_kod","ilce_kod","islem_adeti","islem_suresi"
"3","1771",75266,21591
"38","1409",162129,11444
"41","2030",65130,9592
"42","1933",97267,7880
"3","1281",186513,14947
"1","2033",28117,3544
"34","1336",2133,731
"20","1840",104626,8714
"6","1231",78051,6962
"63","1194",92294,15200
"42","1617",214353,29018
"7","1303",269576,22239
"68","2106",159016,21442
"25","1551",74885,5168
"59","1250",80402,6068
"57","1910",21752,2268
"6","1924",9587,976
"46","1975",38777,3278
"20","1426",46021,7125
"13","1394",167653,15096
"38","1864",300550,22805
"54","1925",37990,4384
"33","1892",37387,3630
"59","1825",55309,7129
"26","1808",37693,3318
"53","1428",8210,11828
"74","1496",9566,2886
"21","1253",439437,32989
"9","1206",194655,23986
"47","1474",111109,9428
"78","1296",40119,3785
"21","2042",182172,152224
"7","1333",26401,5532
"6","1539",148259,14194
"7","1337",51425,9831
"35","1128",93501,8206
"57","1693",20670,4673
"23","1506",43264,3892
"22","1412",48547,10047
"54","2071",23859,2418
"78","1587",46134,18303
"23","1566",66356,5574
"41","2062",89876,11650
"60","1129",93791,8725
"42","1868",120430,102073
"34","2015",22521,3840
"54","1595",2635,636
"8","1736",91898,25792
"27","1415",105370,7486
"56","1575",129078,50906
"36","1279",470248,31737
"45","1613",117542,14165
"61","1507",57313,7625
"18","1555",135163,9802
"10","1191",332381,37063
"66","1635",188189,14039
"1","1588",51431,5004
"28","1837",20366,5532
"31","1413",14650,3124
"48","2089",125893,24346
"10","1619",163403,18984
"61","1896",20548,3568
"5","1668",129444,11043
"28","1893",19086,3106
"66","1117",193195,14981
"63","1209",52459,3898
"34","1604",34599,11208
"46","1694",165859,14132
"37","1277",128958,12774
"42","1907",94169,21570
"59","1652",106312,8145
"26","1527",67374,13817
"55","2074",37686,3202
"41","1338",97443,7517
"14","1531",182827,68586
"10","1462",147680,15953
"21","1195",261369,17933
"12","1344",85791,7196
"16","1935",21849,1794
"23","1631",50970,5865
"43","1790",25142,3415
"3","1809",87038,7758
"16","1553",25450,3895
"56","1662",307633,17454
"25","1392",247055,17089
"46","1299",495132,68306
"47","2002",49351,3422
"55","1763",71562,4835
"18","1494",69819,6551
"35","2007",17302,1963
"29","1458",149167,19143
"42","1990",56612,6211
"16","1783",63490,6198
"33","2066",236321,32809
"35","2018",23841,3266
"2","1182",132901,12482
"11","1571",27495,2371
"67","1926",17916,2160
"10","1384",84526,9239
"54","1833",23972,6457
"58","1870",21364,1811
"13","1112",103413,11370
"52","1951",24898,3733
"80","1423",196019,33766
"49","1964",315419,25233
"34","2048",98667,7130
"28","1320",31306,4526
"35","1677",479861,44012
"18","1718",31602,3284
"3","1961",13406,995
"38","1605",106514,8241
"67","2101",45800,5069
"34","1185",61230,9168
"42","1312",1111296,91349
"67","1276",46298,5308
"37","1410",14259,2422
"65","1533",262522,20070
"3","1944",116775,9564
"61","1647",42454,7042
"79","2025",93528,9447
"35","1477",437417,37201
"37","1845",6266,1618
"42","1375",69857,8056
"10","1928",23468,2047
"2","1354",344767,65875
"42","1188",277743,34002
"35","1251",14088,1984
"22","1705",261539,18299
"27","1974",200066,15274
"16","1535",278625,35926
"55","1501",74997,7412
"60","1690",266253,19484
"81","1784",16647,2470
"1","1757",136639,8883
"42","1839",168181,12984
"35","1280",114111,8722
"60","1883",3609,972
"55","1234",222380,20690
"78","1561",11025,1057
"42","1491",181534,13257
"63","1800",75857,7409
"47","1609",428806,71028
"39","1505",827392,87137
"3","1626",269742,23976
"9","1957",152062,15217
"1","1580",36739,3550
"54","2069",16883,1745
"32","1648",111715,8964
"17","1340",144239,11382
"34","2003",14450,1681
"14","1997",9652,1036
"7","1616",157706,27172
"32","1651",155584,16984
"10","1360",266999,28501
