il_kod,il_ad,ilce_kod,ilce_ad,merkez_ilce_mi,yuzolcum
25,Erzurum,1851,Uzundere,false,582,77
25,Erzurum,2045,Yakutiye,false,858,34
25,Erzurum,1540,Narman,false,905,23
25,Erzurum,1683,Tortum,false,1424,35
25,Erzurum,1153,Aþkale,false,1538,58
25,Erzurum,1551,Olur,false,904,57
25,Erzurum,1396,Horasan,false,1703,94
25,Erzurum,1812,Karaçoban,false,545,22
25,Erzurum,1550,Oltu,false,1410,82
25,Erzurum,1865,Pazaryolu,false,6415
25,Erzurum,2044,Palandöken,false,640,85
25,Erzurum,1444,Karayazý,false,2010,98
25,Erzurum,1945,Aziziye,false,1454,43
25,Erzurum,1392,Hýnýs,false,1342,29
26,Eskiþehir,2047,Tepebaþý,false,1294,77
26,Eskiþehir,1599,Sarýcakaya,false,424,74
26,Eskiþehir,1939,Han,false,400,27
26,Eskiþehir,1632,Sivrihisar,false,28684
26,Eskiþehir,1934,Günyüzü,false,791,27
26,Eskiþehir,1618,Seyitgazi,false,1620,17
26,Eskiþehir,1777,Beylikova,false,676,94
26,Eskiþehir,1527,Mihalýççýk,false,1771,63
26,Eskiþehir,1759,Alpu,false,1007,65
26,Eskiþehir,1808,Ýnönü,false,3746
26,Eskiþehir,2046,Odunpazarý,false,1188,31
26,Eskiþehir,1508,Mahmudiye,false,595,37
26,Eskiþehir,1255,Çifteler,false,827,45
26,Eskiþehir,1973,Mihalgazi,false,163,98
27,Gaziantep,1549,Oðuzeli,false,711,36
27,Gaziantep,1841,Þahinbey,false,966,4
27,Gaziantep,1956,Karkamýþ,false,2998
27,Gaziantep,1139,Araban,false,523,4
27,Gaziantep,1974,Nurdaðý,false,672,19
27,Gaziantep,1720,Yavuzeli,false,5152
27,Gaziantep,1546,Nizip,false,987,56
27,Gaziantep,1844,Þehitkamil,false,1277,21
27,Gaziantep,1415,Ýslahiye,false,841,8
28,Giresun,1465,Keþap,false,190,88
28,Giresun,1361,Görele,false,239,35
28,Giresun,1654,Þebinkarahisar,false,1338,24
28,Giresun,1320,Espiye,false,433,86
28,Giresun,1352,Merkez,false,372,79
28,Giresun,1837,Piraziz,false,130,74
28,Giresun,1133,Alucra,false,1023,9
28,Giresun,1854,Yaðlýdere,false,402,18
28,Giresun,1324,Eynesil,false,54,47
28,Giresun,1894,Çanakçý,false,135,94
28,Giresun,1912,Doðankent,false,186,2
28,Giresun,1930,Güce,false,215,32
28,Giresun,1678,Tirebolu,false,255,49
28,Giresun,1272,Dereli,false,843,16
28,Giresun,1212,Bulancak,false,720,75
28,Giresun,1893,Çamoluk,false,458,21
29,Gümüþhane,1822,Köse,false,388,31
29,Gümüþhane,1660,Þiran,false,907,47
29,Gümüþhane,1458,Kelkit,false,1595,27
29,Gümüþhane,1369,Merkez,false,18763
29,Gümüþhane,1684,Torul,false,1067,39
29,Gümüþhane,1971,Kürtün,false,776,53
30,Hakkari,1377,Merkez,false,2245
30,Hakkari,1737,Yüksekova,false,25112
30,Hakkari,2107,Derecik,false,419,47
30,Hakkari,1261,Çukurca,false,711,56
30,Hakkari,1656,Þemdinli,false,1280,6
31,Hatay,1721,Yayladaðý,false,462,82
31,Hatay,1382,Hassa,false,621,11
31,Hatay,2083,Payas,false,107,16
31,Hatay,1591,Samandað,false,347,78
31,Hatay,2082,Defne,false,140,42
31,Hatay,1289,Dörtyol,false,339,51
31,Hatay,1468,Kýrýkhan,false,668,39
31,Hatay,1792,Erzin,false,292,96
31,Hatay,2081,Arsuz,false,529,87
31,Hatay,1887,Belen,false,267,45
31,Hatay,1970,Kumlu,false,175,28
31,Hatay,1131,Altýnözü,false,416,45
31,Hatay,1585,Reyhanlý,false,369,29
31,Hatay,1413,Ýskenderun,false,251
31,Hatay,2080,Antakya,false,582,76
32,Isparta,1648,Sütçüler,false,1149,44
32,Isparta,1615,Senirkent,false,4939
32,Isparta,2001,Yeniþarbademli,false,222,66
32,Isparta,1154,Atabey,false,2387
32,Isparta,1341,Gelendost,false,575,7
32,Isparta,1297,Eðirdir,false,1447,25
32,Isparta,1717,Yalvaç,false,1421,8
32,Isparta,1699,Uluborlu,false,258,37
32,Isparta,1456,Keçiborlu,false,419,87
32,Isparta,1929,Gönen,false,339,18
32,Isparta,1651,Þarkikaraaðaç,false,916,57
32,Isparta,1755,Aksu,false,451,34
32,Isparta,1401,Merkez,false,781,7
33,Mersin,1621,Silifke,false,2701,25
33,Mersin,2065,Mezitli,false,420,46
33,Mersin,1779,Bozyazý,false,670,48
33,Mersin,2066,Toroslar,false,1262,66
33,Mersin,1766,Aydýncýk,false,380,75
33,Mersin,2064,Akdeniz,false,287,86
33,Mersin,1536,Mut,false,2765,37
33,Mersin,1311,Erdemli,false,1799,74
33,Mersin,1366,Gülnar,false,1455,32
33,Mersin,1892,Çamlýyayla,false,689,81
33,Mersin,2067,Yeniþehir,false,134,9
33,Mersin,1135,Anamur,false,1409,43
33,Mersin,1665,Tarsus,false,2042,59
34,Ýstanbul,2004,Baðcýlar,false,22,4
34,Ýstanbul,1421,Kadýköy,false,259
34,Ýstanbul,1708,Üsküdar,false,35,33
34,Ýstanbul,1823,Küçükçekmece,false,45,1
34,Ýstanbul,1183,Beþiktaþ,false,17,83
34,Ýstanbul,1103,Adalar,false,11,35
34,Ýstanbul,2012,Maltepe,false,54
34,Ýstanbul,1185,Beykoz,false,311,24
34,Ýstanbul,1336,Gaziosmanpaþa,false,11,74
34,Ýstanbul,1604,Sarýyer,false,1766
34,Ýstanbul,1739,Zeytinburnu,false,11,43
34,Ýstanbul,1782,Büyükçekmece,false,163,33
34,Ýstanbul,1186,Beyoðlu,false,8,91
34,Ýstanbul,2005,Bahçelievler,false,16,64
34,Ýstanbul,1810,Kaðýthane,false,14,55
34,Ýstanbul,1852,Ümraniye,false,45,37
34,Ýstanbul,2052,Çekmeköy,false,151,75
34,Ýstanbul,1166,Bakýrköy,false,29,68
34,Ýstanbul,1622,Silivri,false,860,19
34,Ýstanbul,2053,Esenyurt,false,43,1
34,Ýstanbul,2055,Sultangazi,false,36,26
34,Ýstanbul,2015,Tuzla,false,124,48
34,Ýstanbul,1659,Þile,false,783,44
34,Ýstanbul,1327,Fatih,false,16,21
34,Ýstanbul,2049,Ataþehir,false,25,2
34,Ýstanbul,2054,Sancaktepe,false,63,75
34,Ýstanbul,2016,Esenler,false,18,4
34,Ýstanbul,2051,Beylikdüzü,false,38,16
34,Ýstanbul,1886,Bayrampaþa,false,9,62
34,Ýstanbul,2010,Güngören,false,7,26
34,Ýstanbul,1237,Çatalca,false,1134,15
34,Ýstanbul,1325,Eyüpsultan,false,229,4
34,Ýstanbul,1835,Pendik,false,1903
34,Ýstanbul,2050,Baþakþehir,false,104,24
34,Ýstanbul,2014,Sultanbeyli,false,29,1
34,Ýstanbul,1449,Kartal,false,38,54
34,Ýstanbul,2003,Avcýlar,false,50,99
34,Ýstanbul,2048,Arnavutköy,false,483,79
34,Ýstanbul,1663,Þiþli,false,10,72
35,Ýzmir,1563,Ödemiþ,false,1016,55
35,Ýzmir,2018,Güzelbahçe,false,82
35,Ýzmir,1128,Aliaða,false,387,75
35,Ýzmir,1612,Selçuk,false,345,48
35,Ýzmir,1467,Kýnýk,false,494,56
35,Ýzmir,1477,Kiraz,false,552,61
35,Ýzmir,1280,Dikili,false,551,19
35,Ýzmir,2057,Karabaðlar,false,99,5
35,Ýzmir,2006,Balçova,false,21,26
35,Ýzmir,2056,Bayraklý,false,34,27
35,Ýzmir,1203,Bornova,false,230,76
35,Ýzmir,2009,Gaziemir,false,62,53
35,Ýzmir,1334,Foça,false,247,22
35,Ýzmir,1432,Karaburun,false,418,7
35,Ýzmir,1819,Konak,false,24,45
35,Ýzmir,1677,Tire,false,772,48
35,Ýzmir,1251,Çeþme,false,263,82
35,Ýzmir,1780,Buca,false,205,73
35,Ýzmir,1826,Menderes,false,794,93
35,Ýzmir,2007,Çiðli,false,1421
35,Ýzmir,1181,Bergama,false,15476
35,Ýzmir,1682,Torbalý,false,553,25
35,Ýzmir,1448,Karþýyaka,false,51,2
35,Ýzmir,1611,Seferihisar,false,386,7
35,Ýzmir,1703,Urla,false,7155
35,Ýzmir,2013,Narlýdere,false,43,9
35,Ýzmir,1521,Menemen,false,593,23
35,Ýzmir,1776,Beydað,false,170,94
35,Ýzmir,1461,Kemalpaþa,false,637,89
35,Ýzmir,1178,Bayýndýr,false,557,58
36,Kars,1447,Merkez,false,2050,58
36,Kars,1614,Selim,false,1057,3
36,Kars,1756,Akyaka,false,4786
36,Kars,1424,Kaðýzman,false,1809,7
36,Kars,1645,Susuz,false,601,15
36,Kars,1601,Sarýkamýþ,false,2013,94
36,Kars,1279,Digor,false,10674
36,Kars,1149,Arpaçay,false,11763
37,Kastamonu,1845,Þenpazar,false,233,94
37,Kastamonu,1836,Pýnarbaþý,false,569,34
37,Kastamonu,1277,Devrekani,false,693,28
37,Kastamonu,1984,Seydiler,false,219,3
37,Kastamonu,1867,Aðlý,false,234,32
37,Kastamonu,1410,Ýnebolu,false,416,47
37,Kastamonu,1499,Küre,false,412,9
37,Kastamonu,1805,Ýhsangazi,false,475,22
37,Kastamonu,1450,Merkez,false,1858,27
37,Kastamonu,1140,Araç,false,1431,93
37,Kastamonu,1666,Taþköprü,false,1768,14
37,Kastamonu,1162,Azdavay,false,763,61
37,Kastamonu,1208,Bozkurt,false,302,36
37,Kastamonu,1940,Hanönü,false,4253
37,Kastamonu,1221,Cide,false,733,69
37,Kastamonu,1915,Doðanyurt,false,184,73
37,Kastamonu,1238,Çatalzeytin,false,2617
37,Kastamonu,1264,Daday,false,844,61
37,Kastamonu,1101,Abana,false,32,44
37,Kastamonu,1685,Tosya,false,13032
38,Kayseri,1936,Hacýlar,false,164,45
38,Kayseri,1603,Sarýoðlan,false,704,41
38,Kayseri,1605,Sarýz,false,1203,99
38,Kayseri,1864,Melikgazi,false,5995
38,Kayseri,1576,Pýnarbaþý,false,3414,88
38,Kayseri,1727,Yeþilhisar,false,877,87
38,Kayseri,1218,Bünyan,false,1220,75
38,Kayseri,1863,Kocasinan,false,1573,44
38,Kayseri,1275,Develi,false,1920,3
38,Kayseri,1409,Ýncesu,false,807,93
38,Kayseri,1330,Felahiye,false,442,6
38,Kayseri,1680,Tomarza,false,1392,88
38,Kayseri,1978,Özvatan,false,236,96
38,Kayseri,1752,Akkýþla,false,4159
38,Kayseri,1715,Yahyalý,false,1797,87
38,Kayseri,1846,Talas,false,445,12
39,Kýrklareli,1572,Pehlivanköy,false,109,16
39,Kýrklareli,1480,Kofçaz,false,458,21
39,Kýrklareli,1471,Merkez,false,1725,46
39,Kýrklareli,1577,Pýnarhisar,false,585,92
39,Kýrklareli,1163,Babaeski,false,668,53
39,Kýrklareli,1505,Lüleburgaz,false,1033,54
39,Kýrklareli,1270,Demirköy,false,808,37
39,Kýrklareli,1714,Vize,false,1037,78
40,Kýrþehir,1472,Merkez,false,1759,96
40,Kýrþehir,1529,Mucur,false,1040,12
40,Kýrþehir,1254,Çiçekdaðý,false,875,8
40,Kýrþehir,1869,Akçakent,false,355,33
40,Kýrþehir,1890,Boztepe,false,693,31
40,Kýrþehir,1754,Akpýnar,false,548,12
40,Kýrþehir,1429,Kaman,false,1308,7
41,Kocaeli,2030,Derince,false,195,94
41,Kocaeli,1355,Gölcük,false,226,28
41,Kocaeli,1821,Körfez,false,306,4
41,Kocaeli,2060,Darýca,false,23,61
41,Kocaeli,2058,Baþiskele,false,217,17
41,Kocaeli,2062,Ýzmit,false,484,38
41,Kocaeli,1338,Gebze,false,4246
41,Kocaeli,1440,Karamürsel,false,254,46
41,Kocaeli,2063,Kartepe,false,269,14
41,Kocaeli,2059,Çayýrova,false,296
41,Kocaeli,1430,Kandýra,false,854,88
41,Kocaeli,2061,Dilovasý,false,134,85
42,Konya,1933,Güneysýnýr,false,520,18
42,Konya,1868,Ahýrlý,false,376,37
42,Konya,1789,Derebucak,false,582,91
42,Konya,1753,Akören,false,516,81
42,Konya,1760,Altýnekin,false,1194,8
42,Konya,1920,Emirgazi,false,746,17
42,Konya,1994,Yalýhüyük,false,69,61
42,Konya,1375,Hadim,false,1039,24
42,Konya,1188,Beyþehir,false,22046
42,Konya,1207,Bozkýr,false,1185,48
42,Konya,1907,Derbent,false,2827
42,Konya,1222,Cihanbeyli,false,3715,12
42,Konya,1312,Ereðli,false,2275,92
42,Konya,1285,Doðanhisar,false,516,29
42,Konya,1491,Kulu,false,2149,51
42,Konya,1122,Akþehir,false,946,57
42,Konya,1422,Kadýnhaný,false,1715,4
42,Konya,1400,Ilgýn,false,1608,32
42,Konya,1617,Seydiþehir,false,1308,12
42,Konya,1814,Karatay,false,2786,65
42,Konya,1598,Sarayönü,false,1771,72
42,Konya,1839,Selçuklu,false,1894,89
